user_id,month,actual_future_silence,risk_score,prediction
U-67B7AC,2024-12,0,0.622626,1
U-67B7AC,2025-01,1,0.606032,1
U-CD7DB1,2024-01,0,0.203278,0
U-CD7DB1,2024-02,0,0.102197,0
U-CD7DB1,2024-03,0,0.052682,0
U-CD7DB1,2024-04,0,0.090777,0
U-CD7DB1,2024-05,0,0.215017,0
U-CD7DB1,2024-06,0,0.184301,0
U-CD7DB1,2024-07,0,0.398239,0
U-CD7DB1,2024-08,0,0.292636,0
U-CD7DB1,2024-09,0,0.187252,0
U-CD7DB1,2024-10,0,0.156741,0
U-CD7DB1,2025-01,0,0.454464,0
U-CD7DB1,2025-02,0,0.488652,0
U-CD7DB1,2025-03,1,0.398901,0
U-62362B,2024-05,0,0.800318,1
U-62362B,2024-06,1,0.726965,1
U-777C01,2024-03,0,0.75684,1
U-777C01,2024-04,1,0.626916,1
U-3704A3,2025-12,1,0.606986,1
U-0D39ED,2024-01,0,0.316164,0
U-0D39ED,2024-02,1,0.351345,0
U-BD9ABE,2024-02,1,0.513972,1
U-BD9ABE,2024-09,1,0.572843,1
U-C91E02,2025-01,1,0.719132,1
U-DDCD09,2024-01,1,0.534965,1
U-DDCD09,2025-09,1,0.655431,1
U-4E1362,2024-08,0,0.480425,0
U-4E1362,2024-09,1,0.443039,0
U-DC6F71,2024-10,1,0.735416,1
U-C27445,2024-05,1,0.447899,0
U-C27445,2024-12,1,0.576238,1
U-68FFC7,2025-08,1,0.719132,1
U-68FFC7,2025-12,0,0.609508,1
U-D3F98E,2024-09,1,0.666302,1
U-00F43C,2024-06,1,0.719132,1
U-32A8F1,2024-01,1,0.690415,1
U-32A8F1,2024-08,1,0.629234,1
U-32A8F1,2025-01,0,0.401464,0
U-32A8F1,2025-02,0,0.183546,0
U-32A8F1,2025-03,0,0.535064,1
U-32A8F1,2025-04,0,0.191013,0
U-32A8F1,2025-05,0,0.465957,0
U-32A8F1,2025-07,0,0.40419,0
U-32A8F1,2025-09,1,0.447447,0
U-8C5BCB,2024-04,1,0.719132,1
U-6CF0F8,2024-04,0,0.673451,1
U-6CF0F8,2024-05,0,0.514495,1
U-6CF0F8,2024-06,0,0.485933,0
U-6CF0F8,2024-09,0,0.60276,1
U-6CF0F8,2024-11,1,0.486692,0
U-405AFB,2024-11,0,0.788167,1
U-405AFB,2024-12,1,0.440625,0
U-7320B4,2024-03,0,0.576949,1
U-7320B4,2024-06,0,0.682387,1
U-7320B4,2024-07,1,0.639309,1
U-72667F,2024-01,0,0.171668,0
U-72667F,2024-02,0,0.106973,0
U-72667F,2024-03,0,0.16617,0
U-72667F,2024-04,1,0.400241,0
U-72667F,2025-01,0,0.338109,0
